Susceptible,Infected,Recovered,time
74,0,926,59.251767675973305
63,0,937,55.88439553290233
80,0,920,57.97345803598064
76,0,924,48.25588864336407
67,0,933,49.495074424779105
999,0,1,0.7175393651530922
72,0,928,48.08068672549633
82,0,918,61.10508415586653
71,0,929,58.76325593759207
73,0,927,40.16186921959326
70,0,930,61.177316652720734
78,0,922,46.091696873767134
76,0,924,64.91562456303289
72,0,928,65.92643996966054
76,0,924,62.694243763604774
77,0,923,44.56551213084408
72,0,928,55.63824295105504
77,0,923,58.511956499539416
67,0,933,69.03283981336516
75,0,925,44.009228987740315
